location,continent,iso_code,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,cardiovasc_death_rate,life_expectancy,human_development_index,population
Bolivia,South America,BOL,30.94319658119658,25.4,6885.83,204.3,71.51,0.72,12224114.0
Djibouti,Africa,DJI,16.243548387096773,25.4,2705.41,258.04,67.11,0.52,1120851.0
Senegal,Africa,SEN,4.8264516129032256,18.7,2470.58,241.22,67.94,0.51,17316452.0
Cape Verde,Africa,CPV,29.177868852459014,25.7,6222.55,182.22,72.98,0.66,593162.0
Guinea-Bissau,Africa,GNB,8.585,19.4,1548.68,382.47,58.32,0.48,2105580.0
Belize,North America,BLZ,33.237120000000004,25.0,7824.36,176.96,74.62,0.72,405285.0
Norway,Europe,NOR,53.60182094081942,39.7,64800.06,114.31999999999998,82.4,0.96,5434324.0
Vietnam,Asia,VNM,39.20421245421245,32.6,6171.88,245.46,75.4,0.7,98186856.0
Mozambique,Africa,MOZ,23.139180327868853,17.7,1136.1,329.94,60.85,0.46,32969520.0
Serbia,Europe,SRB,33.51009174311927,41.2,14048.88,439.42,76.0,0.81,6871547.0
Bulgaria,Europe,BGR,24.63097302504817,44.7,18563.31,424.69,75.05,0.82,6781955.0
Tunisia,Africa,TUN,30.547800586510263,32.7,10849.3,318.99,76.7,0.74,12356116.0
Cyprus,Europe,CYP,47.88409356725146,37.3,32415.13,141.17,80.98,0.89,896007.0
North Macedonia,Europe,MKD,23.925273972602742,39.1,13111.21,322.69,75.8,0.77,2093606.0
Belgium,Europe,BEL,66.44558823529412,41.8,42658.58,114.9,81.63,0.93,11655923.0
Namibia,Africa,NAM,7.030451977401131,22.0,9541.81,243.81,63.71,0.65,2567024.0
Netherlands,Europe,NLD,56.114,43.2,48472.54,109.36,82.28,0.94,17564020.0
Jordan,Asia,JOR,25.252548076923077,23.199999999999996,8337.49,208.26000000000002,74.53,0.73,11285875.0
Azerbaijan,Asia,AZE,32.40578431372549,32.4,15847.42,559.81,73.0,0.76,10358078.0
New Zealand,Oceania,NZL,59.22836601307189,37.9,36085.84,128.8,82.29,0.93,5185289.0
Bhutan,Asia,BTN,67.83646153846153,28.6,8708.6,217.07,71.78,0.65,782457.0
Guinea,Africa,GIN,6.537396449704142,19.0,1998.9299999999998,336.72,61.599999999999994,0.4799999999999999,13859349.0
Georgia,Asia,GEO,20.601380597014927,38.7,9745.08,496.2200000000001,73.77,0.81,3744385.0
United States,North America,USA,55.26867663981589,38.3,54225.45,151.09,78.86,0.93,338289856.0
Uzbekistan,Asia,UZB,29.140983606557377,28.2,6253.1,724.42,71.72,0.72,34627648.0
Spain,Europe,ESP,53.343668639053256,45.5,34272.36,99.40000000000002,83.56,0.8999999999999999,47558632.0
Nigeria,Africa,NGA,6.887065217391305,18.1,5338.45,181.01,54.69,0.54,218541216.0
Guatemala,North America,GTM,16.769641943734015,22.9,7423.8099999999995,155.9,74.3,0.66,17843914.0
Lebanon,Asia,LBN,23.45451851851852,31.1,13367.56,266.59,78.93,0.74,5489744.0
Fiji,Oceania,FJI,57.45831578947369,28.6,8702.98,412.82,67.44,0.74,929769.0
Canada,North America,CAN,59.23215659340659,41.4,44017.59,105.60000000000001,82.43,0.9300000000000002,38454328.0
Philippines,Asia,PHL,27.816486486486486,25.2,7599.19,370.43999999999994,71.23,0.72,115559008.0
Slovakia,Europe,SVK,32.1713698630137,41.2,30155.15,287.96,77.54,0.86,5643455.0
